Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use
37,Abutilon theophrasti,Abutilon theophrasti,"[['seed', 'Dysentery'], ['seed', 'Demulcents'], ['leaf', 'Demulcents'], ['leaf', 'Gonorrhea'], ['leaf', 'Urologic diseases'], ['root', 'Fever'], ['root', 'Skin diseases'], ['seed', 'Common cold'], ['bark', 'Astringents'], ['None', 'Antipyretics'], ['bark', 'Diuretics'], ['seed', 'Gonorrhea'], ['seed', 'Laxatives'], ['seed', 'Rectal fistula'], ['seed', 'Urologic diseases'], ['None', 'Dysentery'], ['None', 'Eye infections'], ['None', 'Fistula'], ['None', 'Toothache'], ['seed', 'Eye infections']]"
40,Acacia auriculiformis,Acacia auriculiformis,"[['fruit', 'Antiprotozoal agents'], ['aerial part', 'Antiviral agents'], ['aerial part', 'Hypotension'], ['flower', 'Antinematodal agents'], ['flower', 'Filariasis'], ['aerial part', 'Central nervous system depressants'], ['None', 'Central nervous system diseases'], ['None', 'Anti-bacterial agents'], ['None', 'Antifungal agents'], ['None', 'Spermatocidal agents'], ['fruit', 'Dysentery, amebic']]"
42,Acacia caesia,Acacia caesia,"[['flower', 'Menstruation disturbances'], ['None', 'Cough'], ['bark', 'Skin diseases, infectious'], ['None', 'Bronchitis'], ['None', 'Pleurisy'], ['None', 'Measles'], ['None', 'Tuberculosis'], ['None', 'Fistula']]"
43,Acacia catechu,Acacia catechu,"[['leaf', 'Dysentery'], ['leaf', 'Antipyretics'], ['wood', 'Anthelmintics'], ['leaf', 'Anticonvulsants'], ['flower', 'Stomatitis'], ['root', 'Toothache'], ['seed', 'Antineoplastic agents'], ['seed', 'Gastric acid'], ['wood', 'Antipruritics'], ['wood', 'Anti-inflammatory agents'], ['wood', 'Anti-infective agents, local'], ['wood', 'Antifungal agents'], ['leaf', 'Skin diseases'], ['seed', 'Agglutination'], ['leaf', 'Toothache'], ['wood', 'Stomatitis'], ['leaf', 'Wounds and injuries'], ['wood', 'Pain'], ['wood', 'Leprosy'], ['wood', 'Inflammation'], ['wood', 'Anorexia'], ['flower', 'Hemostasis'], ['wood', 'Appetite stimulants'], ['leaf', 'Uterine diseases'], ['wood', 'Antipyretics'], ['root', 'Antifungal agents'], ['root', 'Anti-bacterial agents'], ['plant exudate', 'Wounds and injuries'], ['plant exudate', 'General tonic for rejuvenation'], ['plant exudate', 'Diarrhea'], ['plant exudate', 'Astringents'], ['root', 'Antirheumatic agents'], ['wood', 'Anemia'], ['None', 'Aphrodisiacs'], ['whole plant', 'Hemagglutination'], ['None', 'Dysentery'], ['wood', 'Pressure ulcer'], ['None', 'Asthma'], ['None', 'Astringents'], ['None', 'Atherosclerosis'], ['None', 'Bronchitis'], ['None', 'Chest pain'], ['None', 'Colic'], ['None', 'Cough'], ['None', 'Diarrhea'], ['None', 'Digestive system diseases'], ['None', 'Laryngeal diseases'], ['None', 'Flatulence'], ['None', 'Leprosy'], ['None', 'Neoplasms'], ['None', 'Skin diseases'], ['None', 'Tuberculosis, pulmonary'], ['stem', 'Parasympatholytics'], ['stem', 'Antiviral agents'], ['stem', 'Anti-inflammatory agents'], ['stem', 'Antifungal agents'], ['stem', 'Anti-bacterial agents'], ['seed', 'Leukemia'], ['wood', 'Antiviral agents'], ['seed', 'Hypoglycemia'], ['None', 'Antineoplastic agents'], ['None', 'Anti-obesity agents'], ['None', 'Stomatitis, aphthous'], ['None', 'Depurative'], ['None', 'Vitiligo'], ['None', 'Urination disorders'], ['stem', 'Vitiligo'], ['wood', 'General tonic for rejuvenation'], ['None', 'Wound healing'], ['wood', 'Splenomegaly'], ['bark', 'Diabetes mellitus'], ['bark', 'Depressive disorder'], ['wood', 'Skin diseases'], ['bark', 'Astringents'], ['bark', 'Hemoptysis'], ['bark', 'Antipruritics'], ['bark', 'Anti-infective agents, local'], ['bark', 'Anorexia'], ['bark', 'Anemia'], ['bark', 'Abortifacient agents'], ['aerial part', 'Hypoglycemic agents'], ['bark', 'Erysipelas'], ['bark', 'Gastrointestinal diseases'], ['bark', 'Hemorrhage'], ['bark', 'Diarrhea'], ['bark', 'Scorpion stings'], ['flower', 'Astringents'], ['bark', 'Urticaria'], ['bark', 'Ulcer'], ['bark', 'Tooth diseases'], ['bark', 'Stomatitis'], ['bark', 'Skin diseases'], ['bark', 'Scabies'], ['bark', 'Pruritus'], ['bark', 'Polyuria'], ['bark', 'Mouth diseases'], ['bark', 'Leukorrhea'], ['bark', 'Leprosy'], ['bark', 'Hemostasis'], ['flower', 'Gonorrhea'], ['flower', 'Diarrhea'], ['bark', 'Dysentery'], ['bark', 'Conjunctivitis'], ['bark', 'Common cold'], ['wood', 'Common cold'], ['wood', 'Hemoptysis'], ['bark', 'Edema'], ['wood', 'Hemostasis'], ['wood', 'Hoarseness'], ['None', 'Anthelmintics'], ['wood', 'Cough'], ['wood', 'Cooling effect on body'], ['wood', 'Wounds and injuries'], ['wood', 'Vitiligo'], ['wood', 'Urination disorders'], ['wood', 'Ulcer'], ['wood', 'Astringents'], ['wood', 'Tooth diseases'], ['wood', 'Depurative'], ['wood', 'Diabetes mellitus'], ['wood', 'Hemorrhage'], ['flower', 'Leprosy'], ['None', 'Appetite stimulants'], ['flower', 'Hemorrhage'], ['wood', 'Diarrhea'], ['wood', 'Hematinics'], ['wood', 'Hematemesis'], ['wood', 'Gonorrhea'], ['wood', 'Helminthiasis'], ['wood', 'Fever'], ['wood', 'Exanthema'], ['wood', 'Epistaxis'], ['wood', 'Edema'], ['wood', 'Dysentery'], ['wood', 'Digestive system diseases'], ['wood', 'Furunculosis']]"
44,Acacia chundra,Acacia chundra,"[['bark', 'Toothache'], ['bark', 'Vitiligo'], ['bark', 'Ulcer'], ['bark', 'Spermatocidal agents'], ['leaf', 'Abscess'], ['bark', 'Abscess'], ['aerial part', 'Parasympatholytics'], ['aerial part', 'Antiviral agents'], ['aerial part', 'Spermatocidal agents'], ['bark', 'Anti-infective agents, local'], ['leaf', 'Sexually transmitted diseases'], ['bark', 'Astringents'], ['leaf', 'Toothache'], ['None', 'Stomatitis'], ['None', 'Skin diseases'], ['None', 'Leukemia'], ['bark', 'Furunculosis'], ['wood', 'Vitiligo'], ['plant exudate', 'Analgesics'], ['leaf', 'Ulcer'], ['root', 'Anti-bacterial agents'], ['None', 'Atherosclerosis']]"
46,Acacia concinna,Acacia concinna,"[['fruit', 'Skin diseases'], ['fruit', 'Laxatives'], ['fruit', 'Hair diseases'], ['fruit', 'Expectorants'], ['fruit', 'Emetics'], ['fruit', 'Antifungal agents'], ['flower', 'Antirheumatic agents'], ['flower', 'Parasympatholytics'], ['flower', 'Headache'], ['bark', 'Leprosy'], ['fruit', 'Sleep initiation and maintenance disorders'], ['fruit', 'Vomiting'], ['fruit', 'Hair loss'], ['fruit', 'Cathartics'], ['leaf', 'Malaria'], ['whole plant', 'Skin diseases'], ['leaf', 'Leprosy'], ['whole plant', 'Leprosy'], ['leaf', 'Vitiligo'], ['seed', 'Skin diseases'], ['whole plant', 'Dandruff'], ['fruit', 'Cooling effect on body'], ['whole plant', 'Malaria'], ['None', 'Hair loss'], ['None', 'Dandruff'], ['None', 'Vomiting'], ['leaf', 'Smallpox'], ['leaf', 'Cathartics'], ['leaf', 'Scabies']]"
51,Acacia dealbata,Acacia dealbata,"[['leaf', 'Antineoplastic agents'], ['bark', 'Antineoplastic agents'], ['plant exudate', 'Astringents'], ['bark', 'Dysentery']]"
53,Acacia decurrens,Acacia decurrens,"[['bark', 'Astringents']]"
57,Acacia farnesiana,Acacia farnesiana,"[['fruit', 'Anti-inflammatory agents'], ['None', 'Anticonvulsants'], ['whole plant', 'Hypotension'], ['None', 'Aphrodisiacs'], ['None', 'Wounds and injuries'], ['None', 'Snake bites'], ['None', 'Rinderpest'], ['None', 'Rabies'], ['None', 'Periodontal diseases'], ['None', 'Epilepsy'], ['None', 'Infertility, female'], ['None', 'Mental disorders'], ['None', 'Disorder of ejaculation'], ['None', 'Diuretics'], ['None', 'Diarrhea'], ['None', 'Demulcents'], ['None', 'Delirium'], ['None', 'Cholera'], ['None', 'Carbuncle'], ['None', 'Gonorrhea'], ['bark', 'Abdominal pain'], ['None', 'Astringents'], ['bark', 'Bronchitis'], ['whole plant', 'Contraceptive agents'], ['whole plant', 'Apnea'], ['leaf', 'Sexually transmitted diseases'], ['leaf', 'Gonorrhea'], ['leaf', 'Eye diseases'], ['fruit', 'Neuromuscular agents'], ['fruit', 'Hypoglycemic agents'], ['fruit', 'Carrageenan'], ['fruit', 'Cardiotonic agents'], ['root', 'Contraceptive agents'], ['fruit', 'Anti-bacterial agents'], ['bark', 'Dental caries'], ['bark', 'Demulcents'], ['bark', 'Malaria'], ['bark', 'Polyuria'], ['bark', 'Astringents'], ['bark', 'Skin diseases'], ['bark', 'Uterine diseases'], ['flower', 'Diarrhea'], ['flower', 'General tonic for rejuvenation']]"
58,Acacia ferruginea,Acacia ferruginea,"[['leaf', 'Psoriasis'], ['bark', 'Analgesics'], ['bark', 'Astringents'], ['bark', 'Diarrhea'], ['bark', 'Parasympatholytics'], ['fruit', 'Astringents'], ['plant exudate', 'Demulcents'], ['plant exudate', 'Emollients'], ['whole plant', 'Antifungal agents'], ['plant exudate', 'Diet, food, and nutrition'], ['bark', 'Hypotension'], ['wood', 'Scabies']]"
64,Acacia intsia,Acacia caesia,"[['bark', 'Skin diseases, infectious'], ['None', 'Cough'], ['None', 'Bronchitis'], ['flower', 'Menstruation disturbances'], ['None', 'Fistula'], ['None', 'Pleurisy'], ['None', 'Tuberculosis'], ['None', 'Measles']]"
65,Acacia jacquemontii,Acacia jacquemontii,"[['None', 'Astringents'], ['None', 'General tonic for rejuvenation']]"
66,Acacia lenticularis,Acacia lenticularis,"[['seed', 'Agglutination']]"
67,Acacia leucophloea,Acacia leucophloea,"[['bark', 'Hematologic diseases'], ['None', 'Ulcer'], ['None', 'Vitiligo'], ['None', 'Vomiting'], ['None', 'Wounds and injuries'], ['bark', 'Erysipelas'], ['bark', 'Diarrhea'], ['None', 'Syphilis'], ['bark', 'Bronchitis'], ['bark', 'Astringents'], ['bark', 'Asthma'], ['bark', 'Antipruritics'], ['aerial part', 'Hypotension'], ['bark', 'Dysentery'], ['None', 'Skin diseases'], ['None', 'Leprosy'], ['None', 'Oral ulcer'], ['None', 'Insecticides'], ['None', 'Infection'], ['None', 'Hemostatics'], ['None', 'Hemorrhage'], ['None', 'Fever'], ['None', 'Expectorants'], ['None', 'Erysipelas'], ['None', 'Dysentery'], ['None', 'Diarrhea'], ['None', 'Stomatitis'], ['None', 'Antipyretics'], ['None', 'Dental caries'], ['None', 'Inflammation'], ['None', 'Rectal prolapse'], ['None', 'Demulcents'], ['None', 'Wound healing'], ['None', 'Cardiovascular system'], ['None', 'Cough'], ['bark', 'Hemostatics'], ['aerial part', 'Central nervous system depressants'], ['None', 'Bronchitis'], ['None', 'Aphrodisiacs'], ['bark', 'Furunculosis'], ['None', 'Antipruritics'], ['None', 'Anthelmintics'], ['wood', 'Anti-bacterial agents'], ['seed', 'Hemagglutination'], ['root', 'General tonic for rejuvenation'], ['root', 'Abortifacient agents'], ['plant exudate', 'Ulcer'], ['plant exudate', 'Furunculosis'], ['plant exudate', 'Demulcents'], ['None', 'Anti-bacterial agents'], ['bark', 'Wound healing'], ['bark', 'Vomiting'], ['bark', 'Ulcer'], ['bark', 'Toothache'], ['bark', 'Leprosy'], ['bark', 'Syphilis'], ['bark', 'Stomatitis'], ['bark', 'Snake bites'], ['bark', 'Skin diseases'], ['bark', 'Scabies'], ['bark', 'Rectal prolapse'], ['bark', 'Periodontal diseases'], ['bark', 'Oral ulcer'], ['leaf', 'Syphilis']]"
71,Acacia mearnsii,Acacia mearnsii,"[['wood', 'Skin diseases'], ['bark', 'Hypotension'], ['bark', 'Cardiovascular system'], ['bark', 'Diuretics']]"
73,Acacia melanoxylon,Acacia melanoxylon,"[['seed', 'Hypercholesterolemia'], ['seed', 'Hypoglycemic agents']]"
75,Acacia modesta,Acacia modesta,"[['plant exudate', 'General tonic for rejuvenation'], ['seed', 'Insulin regulation']]"
