,Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use,Kingdom,Family,Group,Common_Name,Synonymous_names,System_of_medicine
10,37,Abutilon theophrasti,Abutilon theophrasti,"[['None', 'Toothache'], ['None', 'Fistula'], ['None', 'Eye infections'], ['None', 'Dysentery'], ['seed', 'Urologic diseases'], ['seed', 'Rectal fistula'], ['seed', 'Laxatives'], ['seed', 'Gonorrhea'], ['None', 'Antipyretics'], ['seed', 'Demulcents'], ['seed', 'Common cold'], ['root', 'Skin diseases'], ['root', 'Fever'], ['leaf', 'Urologic diseases'], ['leaf', 'Gonorrhea'], ['bark', 'Diuretics'], ['bark', 'Astringents'], ['seed', 'Dysentery'], ['seed', 'Eye infections'], ['leaf', 'Demulcents']]",Plantae,Malvaceae,Angiosperms,Buttonweed,"Abutilon theophrastii, Abutilon theophrasti","Ayurveda, Siddha"
11,40,Acacia auriculiformis,Acacia auriculiformis,"[['None', 'Spermatocidal agents'], ['None', 'Central nervous system diseases'], ['None', 'Antifungal agents'], ['None', 'Anti-bacterial agents'], ['fruit', 'Dysentery, amebic'], ['aerial part', 'Central nervous system depressants'], ['flower', 'Filariasis'], ['flower', 'Antinematodal agents'], ['aerial part', 'Hypotension'], ['aerial part', 'Antiviral agents'], ['fruit', 'Antiprotozoal agents']]",Plantae,Leguminosae,Angiosperms,Earleaf Acacia,"Acacia auriculiformis, Acacia auriculaeformis",
12,42,Acacia caesia,Acacia caesia,"[['None', 'Cough'], ['bark', 'Skin diseases, infectious'], ['flower', 'Menstruation disturbances'], ['None', 'Bronchitis'], ['None', 'Fistula'], ['None', 'Measles'], ['None', 'Tuberculosis'], ['None', 'Pleurisy']]",Plantae,Leguminosae,Angiosperms,,"Acacia intsia, Acacia cuesia, Acacia caesia",Ayurveda
13,43,Acacia catechu,Acacia catechu,"[['plant exudate', 'Astringents'], ['bark', 'Abortifacient agents'], ['None', 'Chest pain'], ['None', 'Colic'], ['None', 'Cough'], ['None', 'Diarrhea'], ['None', 'Digestive system diseases'], ['None', 'Dysentery'], ['None', 'Flatulence'], ['None', 'Laryngeal diseases'], ['None', 'Leprosy'], ['None', 'Neoplasms'], ['None', 'Skin diseases'], ['None', 'Stomatitis, aphthous'], ['None', 'Tuberculosis, pulmonary'], ['None', 'Urination disorders'], ['None', 'Vitiligo'], ['None', 'Wound healing'], ['None', 'Depurative'], ['wood', 'Edema'], ['wood', 'Dysentery'], ['wood', 'Digestive system diseases'], ['wood', 'Diarrhea'], ['wood', 'Diabetes mellitus'], ['wood', 'Cough'], ['wood', 'Common cold'], ['wood', 'Astringents'], ['wood', 'Appetite stimulants'], ['wood', 'Antiviral agents'], ['wood', 'Antipyretics'], ['wood', 'Antipruritics'], ['None', 'Bronchitis'], ['None', 'Atherosclerosis'], ['None', 'Astringents'], ['None', 'Asthma'], ['wood', 'Fever'], ['wood', 'Furunculosis'], ['wood', 'Gonorrhea'], ['wood', 'Helminthiasis'], ['wood', 'Hematemesis'], ['wood', 'Hematinics'], ['wood', 'Hemoptysis'], ['wood', 'Hemorrhage'], ['wood', 'Hemostasis'], ['wood', 'Hoarseness'], ['wood', 'Inflammation'], ['wood', 'Leprosy'], ['wood', 'Pain'], ['wood', 'Pressure ulcer'], ['wood', 'Anti-inflammatory agents'], ['wood', 'General tonic for rejuvenation'], ['wood', 'Splenomegaly'], ['wood', 'Stomatitis'], ['wood', 'Tooth diseases'], ['wood', 'Ulcer'], ['wood', 'Urination disorders'], ['wood', 'Vitiligo'], ['wood', 'Wounds and injuries'], ['wood', 'Depurative'], ['wood', 'Cooling effect on body'], ['None', 'Anthelmintics'], ['None', 'Antineoplastic agents'], ['None', 'Anti-obesity agents'], ['None', 'Aphrodisiacs'], ['None', 'Appetite stimulants'], ['wood', 'Skin diseases'], ['wood', 'Anti-infective agents, local'], ['wood', 'Antifungal agents'], ['wood', 'Anthelmintics'], ['flower', 'Astringents'], ['bark', 'Urticaria'], ['bark', 'Ulcer'], ['bark', 'Tooth diseases'], ['bark', 'Stomatitis'], ['bark', 'Skin diseases'], ['bark', 'Scorpion stings'], ['bark', 'Scabies'], ['bark', 'Pruritus'], ['bark', 'Polyuria'], ['bark', 'Mouth diseases'], ['bark', 'Leukorrhea'], ['bark', 'Leprosy'], ['bark', 'Hemostasis'], ['flower', 'Diarrhea'], ['bark', 'Hemorrhage'], ['bark', 'Gastrointestinal diseases'], ['bark', 'Erysipelas'], ['bark', 'Edema'], ['bark', 'Dysentery'], ['bark', 'Diarrhea'], ['bark', 'Diabetes mellitus'], ['bark', 'Depressive disorder'], ['bark', 'Conjunctivitis'], ['bark', 'Common cold'], ['bark', 'Astringents'], ['bark', 'Antipruritics'], ['bark', 'Anti-infective agents, local'], ['bark', 'Anorexia'], ['bark', 'Anemia'], ['bark', 'Hemoptysis'], ['aerial part', 'Hypoglycemic agents'], ['flower', 'Gonorrhea'], ['flower', 'Hemostasis'], ['wood', 'Anorexia'], ['wood', 'Anemia'], ['whole plant', 'Hemagglutination'], ['stem', 'Vitiligo'], ['stem', 'Parasympatholytics'], ['stem', 'Antiviral agents'], ['stem', 'Anti-inflammatory agents'], ['stem', 'Antifungal agents'], ['stem', 'Anti-bacterial agents'], ['seed', 'Leukemia'], ['seed', 'Hypoglycemia'], ['seed', 'Gastric acid'], ['seed', 'Antineoplastic agents'], ['seed', 'Agglutination'], ['flower', 'Hemorrhage'], ['root', 'Toothache'], ['root', 'Antifungal agents'], ['root', 'Anti-bacterial agents'], ['plant exudate', 'Wounds and injuries'], ['plant exudate', 'General tonic for rejuvenation'], ['plant exudate', 'Diarrhea'], ['leaf', 'Wounds and injuries'], ['leaf', 'Uterine diseases'], ['leaf', 'Toothache'], ['leaf', 'Skin diseases'], ['leaf', 'Dysentery'], ['leaf', 'Antipyretics'], ['leaf', 'Anticonvulsants'], ['flower', 'Stomatitis'], ['flower', 'Leprosy'], ['root', 'Antirheumatic agents'], ['wood', 'Exanthema'], ['wood', 'Epistaxis']]",Plantae,Leguminosae,Angiosperms,,"Acacia catechu, Acacia catehcu","Ayurveda, Siddha, Unani"
14,44,Acacia chundra,Acacia chundra,"[['root', 'Anti-bacterial agents'], ['bark', 'Furunculosis'], ['bark', 'Astringents'], ['bark', 'Anti-infective agents, local'], ['bark', 'Abscess'], ['aerial part', 'Spermatocidal agents'], ['aerial part', 'Parasympatholytics'], ['aerial part', 'Antiviral agents'], ['bark', 'Spermatocidal agents'], ['bark', 'Vitiligo'], ['bark', 'Toothache'], ['leaf', 'Ulcer'], ['leaf', 'Abscess'], ['bark', 'Ulcer'], ['plant exudate', 'Analgesics'], ['wood', 'Vitiligo'], ['None', 'Leukemia'], ['None', 'Skin diseases'], ['None', 'Stomatitis'], ['leaf', 'Toothache'], ['None', 'Atherosclerosis'], ['leaf', 'Sexually transmitted diseases']]",Plantae,Leguminosae,Angiosperms,,"Acacia sundra, Acacia chundra","Ayurveda, Siddha"
15,46,Acacia concinna,Acacia concinna,"[['fruit', 'Hair diseases'], ['fruit', 'Expectorants'], ['fruit', 'Emetics'], ['leaf', 'Malaria'], ['fruit', 'Antifungal agents'], ['flower', 'Headache'], ['flower', 'Parasympatholytics'], ['fruit', 'Laxatives'], ['bark', 'Leprosy'], ['flower', 'Antirheumatic agents'], ['fruit', 'Vomiting'], ['fruit', 'Hair loss'], ['fruit', 'Skin diseases'], ['leaf', 'Cathartics'], ['fruit', 'Cathartics'], ['fruit', 'Cooling effect on body'], ['whole plant', 'Skin diseases'], ['leaf', 'Smallpox'], ['None', 'Vomiting'], ['None', 'Dandruff'], ['None', 'Hair loss'], ['leaf', 'Scabies'], ['whole plant', 'Dandruff'], ['seed', 'Skin diseases'], ['leaf', 'Vitiligo'], ['whole plant', 'Leprosy'], ['leaf', 'Leprosy'], ['fruit', 'Sleep initiation and maintenance disorders'], ['whole plant', 'Malaria']]",Plantae,Leguminosae,Angiosperms,,"Acacia rugata, Acacia concinna","Ayurveda, Siddha, Sowa Rigpa, Unani"
16,51,Acacia dealbata,Acacia dealbata,"[['bark', 'Dysentery'], ['bark', 'Antineoplastic agents'], ['plant exudate', 'Astringents'], ['leaf', 'Antineoplastic agents']]",Plantae,Leguminosae,Angiosperms,,Acacia dealbata,
17,53,Acacia decurrens,Acacia decurrens,"[['bark', 'Astringents']]",Plantae,Leguminosae,Angiosperms,,Acacia decurrens,Siddha
18,57,Acacia farnesiana,Acacia farnesiana,"[['None', 'Rabies'], ['None', 'Snake bites'], ['None', 'Wounds and injuries'], ['None', 'Periodontal diseases'], ['None', 'Astringents'], ['whole plant', 'Hypotension'], ['None', 'Anticonvulsants'], ['fruit', 'Anti-inflammatory agents'], ['bark', 'Abdominal pain'], ['bark', 'Astringents'], ['bark', 'Bronchitis'], ['bark', 'Demulcents'], ['None', 'Rinderpest'], ['None', 'Aphrodisiacs'], ['None', 'Infertility, female'], ['bark', 'Malaria'], ['None', 'Gonorrhea'], ['None', 'Mental disorders'], ['None', 'Disorder of ejaculation'], ['None', 'Diuretics'], ['None', 'Diarrhea'], ['None', 'Demulcents'], ['None', 'Delirium'], ['None', 'Cholera'], ['None', 'Carbuncle'], ['None', 'Epilepsy'], ['bark', 'Polyuria'], ['bark', 'Uterine diseases'], ['leaf', 'Eye diseases'], ['fruit', 'Neuromuscular agents'], ['bark', 'Skin diseases'], ['fruit', 'Hypoglycemic agents'], ['fruit', 'Carrageenan'], ['fruit', 'Cardiotonic agents'], ['leaf', 'Gonorrhea'], ['fruit', 'Anti-bacterial agents'], ['flower', 'Diarrhea'], ['bark', 'Dental caries'], ['flower', 'General tonic for rejuvenation'], ['leaf', 'Sexually transmitted diseases'], ['whole plant', 'Apnea'], ['whole plant', 'Contraceptive agents'], ['root', 'Contraceptive agents']]",Plantae,Leguminosae,Angiosperms,,"Acacia farnesiana, Acacia furnesiana","Ayurveda, Siddha, Unani"
19,58,Acacia ferruginea,Acacia ferruginea,"[['bark', 'Analgesics'], ['bark', 'Astringents'], ['bark', 'Diarrhea'], ['bark', 'Hypotension'], ['bark', 'Parasympatholytics'], ['fruit', 'Astringents'], ['leaf', 'Psoriasis'], ['plant exudate', 'Demulcents'], ['plant exudate', 'Diet, food, and nutrition'], ['plant exudate', 'Emollients'], ['wood', 'Scabies'], ['whole plant', 'Antifungal agents']]",Plantae,Leguminosae,Angiosperms,,Acacia ferruginea,"Ayurveda, Siddha"
20,64,Acacia intsia,Acacia caesia,"[['None', 'Measles'], ['bark', 'Skin diseases, infectious'], ['flower', 'Menstruation disturbances'], ['None', 'Bronchitis'], ['None', 'Cough'], ['None', 'Fistula'], ['None', 'Pleurisy'], ['None', 'Tuberculosis']]",Plantae,Leguminosae,Angiosperms,,"Acacia intsia, Acacia cuesia, Acacia caesia",Ayurveda
