Plant_id,Scientific_name,Plant_Name_Mapped,Plant_Part,Therapeutic_Use
18,Abrus precatorius,Abrus precatorius,root,Stomatitis
18,Abrus precatorius,Abrus precatorius,root,Snake bites
18,Abrus precatorius,Abrus precatorius,root,General tonic for rejuvenation
18,Abrus precatorius,Abrus precatorius,root,Puerperal disorders
18,Abrus precatorius,Abrus precatorius,root,Pharyngitis
18,Abrus precatorius,Abrus precatorius,root,Pain
18,Abrus precatorius,Abrus precatorius,root,Mouth diseases
18,Abrus precatorius,Abrus precatorius,root,Leprosy
18,Abrus precatorius,Abrus precatorius,root,Jaundice
18,Abrus precatorius,Abrus precatorius,root,Inflammation
18,Abrus precatorius,Abrus precatorius,root,Infection
18,Abrus precatorius,Abrus precatorius,root,Headache
18,Abrus precatorius,Abrus precatorius,root,Gonorrhea
18,Abrus precatorius,Abrus precatorius,root,Fever
18,Abrus precatorius,Abrus precatorius,root,Eye infections
18,Abrus precatorius,Abrus precatorius,root,Epilepsy
18,Abrus precatorius,Abrus precatorius,root,Endophthalmitis
18,Abrus precatorius,Abrus precatorius,seed,Prostatic neoplasms
18,Abrus precatorius,Abrus precatorius,root,Dysentery
18,Abrus precatorius,Abrus precatorius,root,Diuretics
18,Abrus precatorius,Abrus precatorius,seed,Hair loss
18,Abrus precatorius,Abrus precatorius,seed,Analgesics
18,Abrus precatorius,Abrus precatorius,seed,Anthelmintics
18,Abrus precatorius,Abrus precatorius,root,Dental caries
18,Abrus precatorius,Abrus precatorius,seed,Insecticides
18,Abrus precatorius,Abrus precatorius,seed,Hypotension
18,Abrus precatorius,Abrus precatorius,seed,Hepatitis
18,Abrus precatorius,Abrus precatorius,seed,Hemagglutination
18,Abrus precatorius,Abrus precatorius,seed,Graves ophthalmopathy
18,Abrus precatorius,Abrus precatorius,seed,"Fractures, bone"
18,Abrus precatorius,Abrus precatorius,seed,Fever
18,Abrus precatorius,Abrus precatorius,seed,Emetics
18,Abrus precatorius,Abrus precatorius,seed,Eczema
18,Abrus precatorius,Abrus precatorius,seed,Dysentery
18,Abrus precatorius,Abrus precatorius,seed,Diarrhea
18,Abrus precatorius,Abrus precatorius,seed,Cough
18,Abrus precatorius,Abrus precatorius,seed,Contraceptive agents
18,Abrus precatorius,Abrus precatorius,seed,Common cold
18,Abrus precatorius,Abrus precatorius,seed,Paralysis
18,Abrus precatorius,Abrus precatorius,seed,Cholinergic antagonists
18,Abrus precatorius,Abrus precatorius,seed,Central nervous system depressants
18,Abrus precatorius,Abrus precatorius,seed,Cathartics
18,Abrus precatorius,Abrus precatorius,seed,Cardiotonic agents
18,Abrus precatorius,Abrus precatorius,seed,Breast neoplasms
18,Abrus precatorius,Abrus precatorius,seed,Astringents
18,Abrus precatorius,Abrus precatorius,seed,Asthma
18,Abrus precatorius,Abrus precatorius,seed,Arthralgia
18,Abrus precatorius,Abrus precatorius,seed,Apnea
18,Abrus precatorius,Abrus precatorius,seed,Aphrodisiacs
18,Abrus precatorius,Abrus precatorius,seed,Antispermatogenic agents
18,Abrus precatorius,Abrus precatorius,seed,Antineoplastic agents
18,Abrus precatorius,Abrus precatorius,seed,Anti-inflammatory agents
18,Abrus precatorius,Abrus precatorius,seed,Anti-infective agents
18,Abrus precatorius,Abrus precatorius,seed,Antifungal agents
18,Abrus precatorius,Abrus precatorius,seed,Cholera
18,Abrus precatorius,Abrus precatorius,seed,Anti-bacterial agents
18,Abrus precatorius,Abrus precatorius,root,Contraceptive agents
18,Abrus precatorius,Abrus precatorius,root,Common cold
18,Abrus precatorius,Abrus precatorius,leaf,Diabetes mellitus
18,Abrus precatorius,Abrus precatorius,leaf,Dental caries
18,Abrus precatorius,Abrus precatorius,leaf,Cough
18,Abrus precatorius,Abrus precatorius,leaf,Common cold
18,Abrus precatorius,Abrus precatorius,leaf,Colic
18,Abrus precatorius,Abrus precatorius,leaf,Chest pain
18,Abrus precatorius,Abrus precatorius,leaf,Biliary tract diseases
18,Abrus precatorius,Abrus precatorius,leaf,Astringents
18,Abrus precatorius,Abrus precatorius,leaf,Asthma
18,Abrus precatorius,Abrus precatorius,leaf,Antirheumatic agents
18,Abrus precatorius,Abrus precatorius,leaf,Acquired immunodeficiency syndrome
18,Abrus precatorius,Abrus precatorius,fruit,Disorder of head
18,Abrus precatorius,Abrus precatorius,fruit,Wounds and injuries
18,Abrus precatorius,Abrus precatorius,fruit,Vomiting
18,Abrus precatorius,Abrus precatorius,leaf,Diuretics
18,Abrus precatorius,Abrus precatorius,fruit,Vitiligo
18,Abrus precatorius,Abrus precatorius,fruit,Thirst
18,Abrus precatorius,Abrus precatorius,fruit,Taste disorders
18,Abrus precatorius,Abrus precatorius,fruit,Stomatitis
18,Abrus precatorius,Abrus precatorius,fruit,Skin diseases
18,Abrus precatorius,Abrus precatorius,fruit,General tonic for rejuvenation
18,Abrus precatorius,Abrus precatorius,fruit,Pruritus
18,Abrus precatorius,Abrus precatorius,fruit,Nootropic agents
18,Abrus precatorius,Abrus precatorius,fruit,Fever
18,Abrus precatorius,Abrus precatorius,fruit,Eye diseases
18,Abrus precatorius,Abrus precatorius,fruit,Dental caries
18,Abrus precatorius,Abrus precatorius,fruit,Asthma
18,Abrus precatorius,Abrus precatorius,fruit,Aphrodisiacs
18,Abrus precatorius,Abrus precatorius,fruit,Antitoxins
18,Abrus precatorius,Abrus precatorius,bark,Menstruation
18,Abrus precatorius,Abrus precatorius,fruit,"Tuberculosis, lymph node"
18,Abrus precatorius,Abrus precatorius,root,Cough
18,Abrus precatorius,Abrus precatorius,leaf,Edema
18,Abrus precatorius,Abrus precatorius,leaf,Endophthalmitis
18,Abrus precatorius,Abrus precatorius,root,Chest pain
18,Abrus precatorius,Abrus precatorius,root,Biliary tract diseases
18,Abrus precatorius,Abrus precatorius,root,Astringents
18,Abrus precatorius,Abrus precatorius,root,Asthma
18,Abrus precatorius,Abrus precatorius,root,Aphrodisiacs
18,Abrus precatorius,Abrus precatorius,root,Antirheumatic agents
18,Abrus precatorius,Abrus precatorius,root,Hair loss
18,Abrus precatorius,Abrus precatorius,root,Abortifacient agents
18,Abrus precatorius,Abrus precatorius,leaf,Vomiting
18,Abrus precatorius,Abrus precatorius,leaf,Vitiligo
18,Abrus precatorius,Abrus precatorius,leaf,Urination disorders
18,Abrus precatorius,Abrus precatorius,leaf,"Tuberculosis, lymph node"
18,Abrus precatorius,Abrus precatorius,leaf,Toothache
18,Abrus precatorius,Abrus precatorius,leaf,Thirst
18,Abrus precatorius,Abrus precatorius,leaf,Emetics
18,Abrus precatorius,Abrus precatorius,leaf,Stomatitis
18,Abrus precatorius,Abrus precatorius,leaf,Skin diseases
18,Abrus precatorius,Abrus precatorius,leaf,General tonic for rejuvenation
18,Abrus precatorius,Abrus precatorius,leaf,Pruritus
18,Abrus precatorius,Abrus precatorius,leaf,Pain
18,Abrus precatorius,Abrus precatorius,leaf,Menorrhagia
18,Abrus precatorius,Abrus precatorius,leaf,Jaundice
18,Abrus precatorius,Abrus precatorius,leaf,Inflammation
18,Abrus precatorius,Abrus precatorius,leaf,Infection
18,Abrus precatorius,Abrus precatorius,leaf,Hypnotics and sedatives
18,Abrus precatorius,Abrus precatorius,leaf,Hoarseness
18,Abrus precatorius,Abrus precatorius,leaf,Hepatitis
18,Abrus precatorius,Abrus precatorius,leaf,Headache
18,Abrus precatorius,Abrus precatorius,leaf,Gonorrhea
18,Abrus precatorius,Abrus precatorius,leaf,Fever
18,Abrus precatorius,Abrus precatorius,leaf,Stomach diseases
18,Abrus precatorius,Abrus precatorius,root,Colic
18,Abrus precatorius,Abrus precatorius,root,Emetics
18,Abrus precatorius,Abrus precatorius,seed,General tonic for rejuvenation
18,Abrus precatorius,Abrus precatorius,,Dizziness
18,Abrus precatorius,Abrus precatorius,,Emetics
18,Abrus precatorius,Abrus precatorius,,Eye diseases
18,Abrus precatorius,Abrus precatorius,,Fever
18,Abrus precatorius,Abrus precatorius,,"Fractures, bone"
18,Abrus precatorius,Abrus precatorius,,Gingivitis
18,Abrus precatorius,Abrus precatorius,,Headache
18,Abrus precatorius,Abrus precatorius,,Histamine antagonists
18,Abrus precatorius,Abrus precatorius,,"Intestinal diseases, parasitic"
18,Abrus precatorius,Abrus precatorius,,Leprosy
18,Abrus precatorius,Abrus precatorius,,Mouth diseases
18,Abrus precatorius,Abrus precatorius,,Disinfectants
18,Abrus precatorius,Abrus precatorius,,Muscle strength
18,Abrus precatorius,Abrus precatorius,,Night blindness
18,Abrus precatorius,Abrus precatorius,,Pain
18,Abrus precatorius,Abrus precatorius,,Paralysis
18,Abrus precatorius,Abrus precatorius,,General tonic for rejuvenation
18,Abrus precatorius,Abrus precatorius,,Sciatica
18,Abrus precatorius,Abrus precatorius,,Skin diseases
18,Abrus precatorius,Abrus precatorius,,Sprains and strains
18,Abrus precatorius,Abrus precatorius,,Thirst
18,Abrus precatorius,Abrus precatorius,,Ulcer
18,Abrus precatorius,Abrus precatorius,,Mucus in urine
18,Abrus precatorius,Abrus precatorius,seed,Parasympatholytics
18,Abrus precatorius,Abrus precatorius,,Nervous system diseases
18,Abrus precatorius,Abrus precatorius,,Diarrhea
18,Abrus precatorius,Abrus precatorius,seed,Anti-poisoning
18,Abrus precatorius,Abrus precatorius,,"Contraceptives, oral"
18,Abrus precatorius,Abrus precatorius,,Cough
18,Abrus precatorius,Abrus precatorius,seed,Sciatica
18,Abrus precatorius,Abrus precatorius,seed,Skin diseases
18,Abrus precatorius,Abrus precatorius,seed,Stomatitis
18,Abrus precatorius,Abrus precatorius,seed,Thirst
18,Abrus precatorius,Abrus precatorius,seed,"Tuberculosis, lymph node"
18,Abrus precatorius,Abrus precatorius,seed,Ulcer
18,Abrus precatorius,Abrus precatorius,seed,Uterine contraction
18,Abrus precatorius,Abrus precatorius,seed,Uterine diseases
18,Abrus precatorius,Abrus precatorius,seed,Vitiligo
18,Abrus precatorius,Abrus precatorius,seed,Wounds and injuries
18,Abrus precatorius,Abrus precatorius,seed,Irritant
18,Abrus precatorius,Abrus precatorius,seed,Schistosoma
18,Abrus precatorius,Abrus precatorius,whole plant,Gonorrhea
18,Abrus precatorius,Abrus precatorius,whole plant,Antineoplastic agents
18,Abrus precatorius,Abrus precatorius,,Cathartics
18,Abrus precatorius,Abrus precatorius,,Aphrodisiacs
18,Abrus precatorius,Abrus precatorius,,Antipruritics
18,Abrus precatorius,Abrus precatorius,,Antiparasitic agents
18,Abrus precatorius,Abrus precatorius,,Apnea
18,Abrus precatorius,Abrus precatorius,,"Anti-infective agents, local"
18,Abrus precatorius,Abrus precatorius,,Anticonvulsants
18,Abrus precatorius,Abrus precatorius,,Anthelmintics
18,Abrus precatorius,Abrus precatorius,,Hair loss
18,Abrus precatorius,Abrus precatorius,,Abortifacient agents
18,Abrus precatorius,Abrus precatorius,,Antineoplastic agents
25,Abutilon hirtum,Abutilon hirtum,root,Fever
25,Abutilon hirtum,Abutilon hirtum,,Nervous system diseases
25,Abutilon hirtum,Abutilon hirtum,seed,Laxatives
25,Abutilon hirtum,Abutilon hirtum,seed,Hemorrhoids
25,Abutilon hirtum,Abutilon hirtum,seed,Gonorrhea
25,Abutilon hirtum,Abutilon hirtum,seed,Demulcents
25,Abutilon hirtum,Abutilon hirtum,root,Menstruation
25,Abutilon hirtum,Abutilon hirtum,leaf,Toothache
25,Abutilon hirtum,Abutilon hirtum,seed,Bronchitis
25,Abutilon hirtum,Abutilon hirtum,leaf,Hemorrhoids
25,Abutilon hirtum,Abutilon hirtum,leaf,Demulcents
25,Abutilon hirtum,Abutilon hirtum,fruit,Anti-bacterial agents
25,Abutilon hirtum,Abutilon hirtum,flower,Anti-bacterial agents
25,Abutilon hirtum,Abutilon hirtum,bark,Infection
25,Abutilon hirtum,Abutilon hirtum,bark,Diuretics
25,Abutilon hirtum,Abutilon hirtum,bark,Astringents
25,Abutilon hirtum,Abutilon hirtum,leaf,Low back pain
25,Abutilon hirtum,Abutilon hirtum,bark,Antipyretics
25,Abutilon hirtum,Abutilon hirtum,bark,Anthelmintics
26,Abutilon indicum,Abutilon indicum,whole plant,Headache
26,Abutilon indicum,Abutilon indicum,whole plant,Hemorrhoids
26,Abutilon indicum,Abutilon indicum,whole plant,Hypnotics and sedatives
26,Abutilon indicum,Abutilon indicum,whole plant,Insect repellents
26,Abutilon indicum,Abutilon indicum,whole plant,Laxatives
26,Abutilon indicum,Abutilon indicum,whole plant,Ulcer
26,Abutilon indicum,Abutilon indicum,whole plant,Paralysis
26,Abutilon indicum,Abutilon indicum,whole plant,General tonic for rejuvenation
26,Abutilon indicum,Abutilon indicum,whole plant,Gonorrhea
26,Abutilon indicum,Abutilon indicum,whole plant,Urinary bladder diseases
26,Abutilon indicum,Abutilon indicum,,Immunostimulant
26,Abutilon indicum,Abutilon indicum,,Analgesics
26,Abutilon indicum,Abutilon indicum,whole plant,Leprosy
26,Abutilon indicum,Abutilon indicum,whole plant,Expectorants
26,Abutilon indicum,Abutilon indicum,whole plant,Astringents
26,Abutilon indicum,Abutilon indicum,whole plant,Cystitis
26,Abutilon indicum,Abutilon indicum,whole plant,Cough
26,Abutilon indicum,Abutilon indicum,whole plant,Aphrodisiacs
26,Abutilon indicum,Abutilon indicum,whole plant,Anti-inflammatory agents
26,Abutilon indicum,Abutilon indicum,seed,Laxatives
26,Abutilon indicum,Abutilon indicum,seed,Hemorrhoids
26,Abutilon indicum,Abutilon indicum,seed,Gonorrhea
26,Abutilon indicum,Abutilon indicum,seed,Expectorants
26,Abutilon indicum,Abutilon indicum,seed,Demulcents
26,Abutilon indicum,Abutilon indicum,seed,Cystitis
26,Abutilon indicum,Abutilon indicum,seed,Aphrodisiacs
26,Abutilon indicum,Abutilon indicum,seed,Antifungal agents
26,Abutilon indicum,Abutilon indicum,root,Urination disorders
26,Abutilon indicum,Abutilon indicum,,Anthelmintics
26,Abutilon indicum,Abutilon indicum,whole plant,Diuretics
26,Abutilon indicum,Abutilon indicum,root,Vitiligo
26,Abutilon indicum,Abutilon indicum,,Hemorrhoids
26,Abutilon indicum,Abutilon indicum,,Anticonvulsants
26,Abutilon indicum,Abutilon indicum,,Wounds and injuries
26,Abutilon indicum,Abutilon indicum,,Vaginal discharge
26,Abutilon indicum,Abutilon indicum,,Urethritis
26,Abutilon indicum,Abutilon indicum,,Ulcer
26,Abutilon indicum,Abutilon indicum,,Toothache
26,Abutilon indicum,Abutilon indicum,,Postnatal care
26,Abutilon indicum,Abutilon indicum,,Periodontal diseases
26,Abutilon indicum,Abutilon indicum,,Nervous system diseases
26,Abutilon indicum,Abutilon indicum,,Muscle cramp
26,Abutilon indicum,Abutilon indicum,,Menorrhagia
26,Abutilon indicum,Abutilon indicum,,Low back pain
26,Abutilon indicum,Abutilon indicum,root,Urinary bladder diseases
26,Abutilon indicum,Abutilon indicum,,Heart diseases
26,Abutilon indicum,Abutilon indicum,,"Fractures, bone"
26,Abutilon indicum,Abutilon indicum,,Fever
26,Abutilon indicum,Abutilon indicum,,Epistaxis
26,Abutilon indicum,Abutilon indicum,,Enema
26,Abutilon indicum,Abutilon indicum,,Anti-inflammatory agents
26,Abutilon indicum,Abutilon indicum,,Antineoplastic agents
26,Abutilon indicum,Abutilon indicum,,Antirheumatic agents
26,Abutilon indicum,Abutilon indicum,,Astringents
26,Abutilon indicum,Abutilon indicum,,Bronchitis
26,Abutilon indicum,Abutilon indicum,,"Candidiasis, vulvovaginal"
26,Abutilon indicum,Abutilon indicum,,Anti-bacterial agents
26,Abutilon indicum,Abutilon indicum,,Central nervous system diseases
26,Abutilon indicum,Abutilon indicum,,Colic
26,Abutilon indicum,Abutilon indicum,,Cystitis
26,Abutilon indicum,Abutilon indicum,,Demulcents
26,Abutilon indicum,Abutilon indicum,,Diuretics
26,Abutilon indicum,Abutilon indicum,,Dysentery
26,Abutilon indicum,Abutilon indicum,,Disorder of ejaculation
26,Abutilon indicum,Abutilon indicum,,Chest pain
26,Abutilon indicum,Abutilon indicum,root,Urinary bladder calculi
26,Abutilon indicum,Abutilon indicum,leaf,Hydrocele
26,Abutilon indicum,Abutilon indicum,root,Polyuria
26,Abutilon indicum,Abutilon indicum,leaf,Bronchitis
26,Abutilon indicum,Abutilon indicum,leaf,Antirheumatic agents
26,Abutilon indicum,Abutilon indicum,leaf,Abdominal pain
26,Abutilon indicum,Abutilon indicum,fruit,Stomach diseases
26,Abutilon indicum,Abutilon indicum,fruit,Analgesics
26,Abutilon indicum,Abutilon indicum,flower,Ulcer
26,Abutilon indicum,Abutilon indicum,flower,Hematemesis
26,Abutilon indicum,Abutilon indicum,flower,Gonorrhea
26,Abutilon indicum,Abutilon indicum,flower,Furunculosis
