,Plant_Id,Scientific_Name,Family,Family_Hindi_Name),Species_Name,Common_Name,Habit,Habitat,Comments,Flower_Fruit,Distribution,Key_Feature
10,11,Abelmoschus manihot,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus manihot subsp. tetraphyllus (Roxb. ex Hornem.) Borss. Waalk.,,Undershrub,Deciduous forests,,October-January,"Karnataka, Maharashtra, Odisha, Sikkim, Arunachal Pradesh",
11,12,Abelmoschus manihot,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus manihot var. pungens (Roxb.) Hochr.,,Undershrub,Shady hill slopes,"It differs from Abelmoschus manihot ssp. tetraphyllus var. tetraphyllus, in the margins of the epicalyx segments being hispid by stiff simple hairs",July-January,"Maharashtra, Odisha, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura",
12,13,Abelmoschus moschatus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus moschatus Medik.,"Musk Mallow, Ambrette, Vegetable Musk, Muskseed",Shrub,"Rocky areas in Tropical moist deciduous forests, also in the plains. Usually along tidal streams where the fresh and sea-water meet",Occasional deciduous forests. Seed oil is used as an adulterant for musk & perfume. Sometimes cultivated for seeds,July-December,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Andaman and Nicobar Islands","A shrub 6-8 feet high, the branchlets, leaves and other parts covered with stiff hairs. Leaves orbicular, about 5 lobed, the margins coarsely serrate. Flowers light yellow with a dark purple centre."
13,14,Abelmoschus moschatus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus rhodopetalus F.Muell.,,Herb,Garden plant,Cultivated,December-May,"Karnataka, Kerala, Maharashtra",
14,15,Abelmoschus setinervis,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Not found in Plant List,,Undershrub,,,,Karnataka,
15,16,Abroma augusta,STERCULIACEAE(Sterculia Or Cocoa Family),COCOA FAMILY,Abroma augustum (L.) L.f.,Devil's cotton,Shrub,Grown as garden plant,Bark yields fibre,December-August,"Karnataka, Kerala, Maharashtra, Assam, Andaman and Nicobar Islands, Lakshadweep",
16,17,Abrus fruticulosus,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Abrus fruticulosus Wight & Arn.,,Climber,Deciduous forests,,October-January,"Andhra Pradesh, Tamil Nadu, Assam, Andaman and Nicobar Islands",Leaflets narrow and small
17,18,Abrus precatorius,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Abrus precatorius L.,"Indian Liquorice, Jeguirity, Bead Vine, Black-Eyed Susan, Buddhist Rosary Bead, Crab's eye, Indian liquorice, Rosary pea, Wild liquorice",Climbing shrub,"Tropical dry deciduous forests, also in the plains","On plains from coast in scrub jungles to 750m and common in forest edges and wasteland in bushes.  There are seed coloured forms white, red and black, and dark blue. The White seeds are used for birth control by tribals.",Throughout the year,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Andaman and Nicobar Islands, Manipur, Tripura, Lakshadweep",
18,19,Abrus pulchellus,FABACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),Abrus melanospermus subsp. melanospermus,,Climbing shrub,"Tropical semi-evergreen forests, Tropical moist deciduous forests, Tropical dry deciduous forests, plains",,August-March,"Andhra Pradesh, Karnataka, Kerala, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Andaman and Nicobar Islands, Manipur, Tripura","A wiry climber; podsflat and seed compressed, black"
19,20,Abutilon auritum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon auritum (Wall. ex Link) Sweet,,Undershrub,Hill tops,,October-January,Maharashtra,
20,21,Abutilon bidentatum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon bidentatum Hochst. ex A.Rich.,,Herb,,Rare,August-April,"Maharashtra, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Jammu and Kashmir",
21,22,Abutilon crispum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Herissantia crispa (L.) Brizicky,,Herb,"Scrub, Tropical dry deciduous forests, also roadsides","Occur in degraded forests, inland plains, wasteland and rocky hill slopes.",March-October,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Tamil Nadu",
22,23,Abutilon fruticosum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon fruticosum Guill. & Perr.,"Texas Indian mallow, Sweet Indian mallow",Undershrub,Tropical dry deciduous forests,,August-October,Gujarat,
23,24,Abutilon grandiflorum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon grandifolium (Willd.)Sweet,,Undershrub,,,,Karnataka,
24,25,Abutilon hirtum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon hirtum (Lam.)Sweet,Hairy Indian Mallow,Shrub or Undershrub,,"Occurs in scrub forests and hilly plains, sometimes as a weed in wasteland.",September-April,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
25,26,Abutilon indicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Not found in The Plant List,,Herb,,,September-April,Andhra Pradesh,
26,27,Abutilon indicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon guineense (Schumach.) Baker f. & Exell,,Shrub,"Scrub, deciduous forests",Rare,February-November,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Tamil Nadu",
27,28,Abutilon indicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon indicum subsp. Indicum,Indian Mallow,Shrub,"Scrub, deciduous forests, also in wasteland",On hilly plains. Sometimes found as an aggressive colonizer on disturbed lands. Plant is used in local medicine.,July-April,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Sikkim, Arunachal Pradesh, Assam, Lakshadweep",
28,29,Abutilon megapotamicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Callianthe megapotamica (A.Spreng.) Dorr,,Shrub,,,,Tamil Nadu,
29,30,Abutilon neilgherrense,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon neelgherrense Munro,,Undershrub,"Deciduous forests, scrub forests",Rare,August-March,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
30,31,Abutilon pakistanicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon pakistanicum Jafri & Ali,,Undershrub,Dry sandy habitats,,October-January,Rajasthan,"Leaves entire to minutely toothed, obtuse or somewhat acute"
31,32,Abutilon pannosum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon pannosum (G.Forst.) Schlect.,Ragged Mallow,Shrub,"Deciduous forests, scrub jungle",Frequent in black clay soil,October-June,"Andhra Pradesh, Karnataka, Maharashtra, Odisha, Tamil Nadu",
32,33,Abutilon persicum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon persicum (Burm.f.) Merr.,Persian Mallow,Undershrub,"Tropical moist deciduous forests, Tropical semi-evergreen forests",Common in Tropical moist deciduous forests,October-April,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
33,34,Abutilon ramosum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon ramosum (Cav.) Guill. & Pers.,,Herb,Disturbed forest,Occasional on loose soils in shaded localities,April-September,"Karnataka, Kerala, Maharashtra, Tamil Nadu, Uttarakhand, Himachal Pradesh, Jammu and Kashmir",
34,35,Abutilon ranadei,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon ranadei Woodrow & Stapf,,Undershrub,,Seed set in natural habitats is very poor,November-January,Maharashtra,Flowers orange yellow
35,36,Abutilon striatum,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Callianthe striata (G.F.Dicks. ex Lindl.) Donnell,,Shrub,Garden plant,Introduced. Cultivated as ornamental and also found as an escape,January-April,Kerala,
36,37,Abutilon theophrasti,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abutilon theophrasti Medik.,,Herb,,,September-October,"Maharashtra, Tamil Nadu",
37,38,Acacia armata,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia paradoxa DC.,,Tree,Planted,,,Tamil Nadu,
38,39,Acacia aulacocarpa,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia aulacocarpa Benth.,,Tree,,,,Karnataka,
39,40,Acacia auriculiformis,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia auriculiformis Benth.,"Ear-leaf Acacia, Darwin Black Wattle",Tree,Planted,,December-August,"Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu","Evergreen, unarmed tree; Leaves alternate, simple, reduced to phyllodes; Flowers loose, yellow-orange spikes; Fruit flat, oblong pod, twisted at maturity."
40,41,Acacia baileyana,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia baileyana F.Muell.,,Tree,,Grown in the hills of Tamil Nadu,,Tamil Nadu,
41,42,Acacia caesia,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Senegalia caesia (L.) Maslin, Seigler & Ebinger","Black Catechu, Soap bark",Liana,"River banks, wasteland, scrub jungles and along hill slopes. Foot hills of Tropical evergreen forests, Tropical semi-evergreen forests",In plains to 1000m. Common,June-April,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura","Prickles large; coppery pods turning brown; Woody, armed shrubs; Leaflets 40-50, thinly membranous, sharply acute; Flowers creamy white in globose heads; Pods dark brown, glabrous"
42,43,Acacia catechu,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Senegalia catechu (L.f.) P.J.H.Hurter & Mabb.,"Black Cutch, Cutch Tree, White kutch",Tree,Tropical dry deciduous forests,,March-December,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Mizoram, Manipur, Tripura","Small tree; Leaves fern-like; Flowers white or pale yellow, bunched tightly together to form a cylindrical flower spike; Seed pods dark brown."
43,44,Acacia chundra,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Senegalia chundra (Roxb. ex Rottler) Maslin,"Red Cutch, Cutch tree",Tree,Tropical dry deciduous forests,In foothills of scrub jungles to 750m.,May-October,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
44,45,Acacia cineraria,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Prosopis cineraria (L.) Druce,,Tree,Scrub forests,,,"Karnataka, Odisha",
45,46,Acacia concinna,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Senegalia rugata (Lam.) Britton & Rose,,Shrub,,,,,
46,47,Acacia concurrens,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia concurrens Pedley,,Tree,Grown in the hills,,,Tamil Nadu,
47,48,Acacia confusa,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia confusa Merr.,,Tree,,,,Tamil Nadu,
48,49,Acacia cornigera,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Vachellia cornigera (L.) Seigler & Ebinger,,Tree,,,,,
49,50,Acacia cultriformis,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia cultriformis A.Cunn. ex G.Don,,Tree,,Planted,,Tamil Nadu,
50,51,Acacia dealbata,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia dealbata Link,Silver Wattle,Tree,Raised in plantations,Introduced and planted on the hills for its bark,September-March,"Kerala, Tamil Nadu","Tree with silvery foliage, densely tomentose branchlets and bright yellow flower heads"
51,52,Acacia decora,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia decora Rchb.f.,,Tree,,,,Tamil Nadu,
52,53,Acacia decurrens,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia decurrens (J.C.Wendl.) Willd.,"Silver Wattle, Black Wattle",Tree,Planted,Tree with angled bracteoles. Pods consisting between Seeds,August-December,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu",Branchelets angled; foliage glabrous
53,54,Acacia donaldi,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Senegalia donaldi (Haines) Ragup., Seigler, Ebinger & Maslin",,Tree,,Especilly on the Quartzites and shals,July-January,Odisha,
54,55,Acacia eburnea,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Vachellia eburnea (L.f.) P.J.H.Hurter & Mabb.,"Black Babool, Indian Cockspur Thorn",Tree,Arid region,In plains to scrub jungles.,October-April,"Andhra Pradesh, Karnataka, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Jammu and Kashmir","Thorny tree, with comparatively large leaves. Stipular thorns large, ivory white, often hallow. Young branches pubescent, stipular spines prominent; gland just below the first pair of pinna. Flower heads in racemes. Pods thin, flat, curved in a hook, glabrous 5 - 10 seeded."
55,56,Acacia elata,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia elata A.Cunn. ex Benth.,,Tree,,Planted in the hills,,Tamil Nadu,Lofty evergreen tree
56,57,Acacia farnesiana,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Vachellia farnesiana (L.) Wight & Arn.,"Fragrant Acacia, Needle Bush",Tree,Planted,In foothills to 900m. Introduced and cultivated as medicinal plant,September-February,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu, Uttarakhand","A thorny small tree or shrub with fragrant, bright yellow flower heads"
57,58,Acacia ferruginea,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Senegalia ferruginea (DC.) Pedley,Foreign White Sundra,Tree,Tropical dry deciduous forests,In foothills of scrub jungles.,March-April,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu",Deciduous tree; leaves glaucos
58,59,Acacia gageana,MIMOSACEAE(Pea Or Bean Family),PALASH FAMILY (पलाश फैमिली),"Senegalia gageana (Craib) Maslin, Seigler & Ebinger",,Small tree,"Warm and subtropical forests, 200 - 1100 m. altitude",,July-September,"Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura",
59,60,Acacia hohenackeri,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Senegalia hohenackeri (Craib) Ragup., Seigler, Ebinger & Maslin",,Climbing shrub,,,April-June,"Andhra Pradesh, Karnataka, Tamil Nadu",
60,61,Acacia holosericea,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia holosericea A.Cunn. ex G.Don,,Shrub,Cultivated,Plains to Low Altitude,,Tamil Nadu,
61,62,Acacia homalophylla,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia omalophylla A.Cunn. ex Benth.,,Tree,Tropical evergreen forests,Planted in the gardens,,Tamil Nadu,
62,63,Acacia horrida,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Vachellia horrida (L.) Kyal. & Boatwr.,Robber-thorn tree,Tree,"Tropical dry deciduous forests, scrub jungles",Foothills of forests. Tree with Umbrella like crown,July-May,"Andhra Pradesh, Karnataka, Kerala, Odisha, Tamil Nadu","Armed tree with prominent spines, white large in pairs, often hallow, tenanted by Ants. Bark reddish brown, flowers in spikes. Pods flat curved."
63,64,Acacia intsia,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Senegalia intsia (L.) Maslin, Seigler & Ebinger","Incha, Soap bark, Palinja",Shrub,"Very common along the stream banks, wastelands and scrub jungles, also grow in Tropical evergreen forests, Tropical semi-evergreen forests; from plains to 500 m. altitude",,October-December,"Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura",Large prickly shrub
64,65,Acacia jacquemontii,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Vachellia jacquemontii (Benth.) Ali,,Shrub or tree,Desert,The bark is used for tanning leather and the leaves are stored as fodder,December-,Gujarat,
65,66,Acacia lenticularis,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Senegalia lenticularis (Buch.-Ham. ex Benth.) Ragup., Seigler, Ebinger & Maslin",,Tree,,,May-December,"Andhra Pradesh, Odisha, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Jammu and Kashmir","Leaves glaucous, flowers greyish-white. Pods thickened sutures and few spines."
66,67,Acacia leucophloea,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),"Vachellia leucophloea (Roxb.) Maslin, Seigler & Ebinger","White Babool, White-Barked Acacia, Distiller's acacia, White babool",Tree,Tropical dry deciduous forests,Occasional in plains and hills up to 1000m.,July-February,"Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Uttarakhand, Himachal Pradesh, Jammu and Kashmir","Bark whitish-grey smooth when young, dark brown blackish, rough when old, exfoliating in irregular scales, blaze light red. Inflorescence in terminal panicles. Bark is used in distiling local arack; also yeilds good fiber."
67,68,Acacia longifolia,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia longifolia (Andrews) Willd.,,Tree,Tropical evergreen forests,Planted in the gardens,,Tamil Nadu,
68,69,Acacia maidenii,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia maidenii F.Muell.,,Tree,Tropical evergreen forests,Planted on the hills,,Tamil Nadu,
69,70,Acacia mangium,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia mangium Willd.,Mangium Tree,Tree,"Grown as avenue tree, also raised in plantations",Extensively planted in social forestry programs,February-July,"Karnataka, Kerala, Maharashtra","Unarmed tree, Leaves phyllodic. Flowers pale yellow, pod coiled."
70,71,Acacia mearnsii,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia mearnsii De Wild.,Black Wattle,Tree,In Plantations,Introduced in higher hills. The main source of tanning bark in India.,March-December,"Kerala, Tamil Nadu",Evergreen tree; flowering heads pale yellow
71,72,Acacia megaladena,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia megaladena Desv.,,Climbing shrub,,,August-September,Karnataka,
72,73,Acacia melanoxylon,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia melanoxylon R.Br.,"Australian Blackwood, Black wattle, Blackwood Acacia",Tree,Planted,Planted,January-November,"Kerala, Tamil Nadu",Glabrous tree with bipinnate leaves when plant is young
73,74,Acacia mellifera,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia mellifera (M.Vahl) Benth.,,Shrub,Grown,Grown for fuel wood,March-June,Kerala,
74,75,Acacia modesta,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia modesta Wall.,,Tree,Hill stations,Introduced on the hills,Throughout the year,,
75,76,Acacia myrtifolia,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia myrtifolia (Sm.) Willd.,,Tree,,Planted in the gardens,,,
76,77,Acacia neriifolia,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia neriifolia Benth.,,Tree,,Planted in the gardens,,,
77,78,Acacia nilotica,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia nilotica (L.) Delile,"Babul tree, Black babool, Indian gum arabic tree",Tree,Introduced and planted,Common in most of the Northern Karnataka and sometimes also planted for its timber and 'gum arabic'. Bark and pods also used for tanning.,July-October,Kerala,
78,79,Acacia nilotica,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia nilotica subsp. adstringens (Schum. & Thonn.) Roberty,,Tree,,,,,
79,80,Acacia nilotica,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia nilotica subsp. cupressiformis (J.L.Stewart) Ali & Faruqi,,Tree,,,,,
80,81,Acacia nilotica,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia nilotica subsp. indica (Benth.) Brenan,"Babool Acacia, Indian Gum Arabic, Black Babool Tree",Tree,,"In plains along Agricultural margins from the coast to 500m,mostly by arable lands.",August-April,"Andhra Pradesh, Karnataka, Maharashtra, Odisha, Tamil Nadu","Bark dark brown, very rough with deep narrow longitudinal fissures, exudes good gum when insure, blaze pinkish brown"
81,82,Acacia nilotica,MIMOSACEAE(Pea Or Bean Family),BABOOL FAMILY (बबूल फैमिली),Acacia nilotica subsp. subalata (Vatke) Brenan,,Tree,,,,,
