,Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,clean_info
10,13,Heliconia latispatha distans,Heliconia Orange Red Yellow,Marathi - Heliconia,shrubs,musaceae banana family,"Sun growing, Semi shade","Normal, Can tolerate more",Flowers,yeararound flowering flowers flushes throughout year,green,1 to 2 meters,1 to 2 meters,spreading upright erect,,rare plant difficult get plant good cut flowers good screening good hedges borders suitable road median planting good seaside,not often seen variety definitely become popular years come plants grow around two meters tall hardy quick growing stems leaf petioles brown spots flowers magnificiant held upright foliage flowers twisted spiral not one plane like many upright heliconias flowers held foliage visible distance heliconias relatives banana come colorful forests south america ginger like root grows ground surface plants variable blooming seasons vary per location flower longer period hot humid tropics regions more pronounced seasons flower lesser period,heliconias tropical plants like warm humid best grown full sunlight however hot dry areas grown partial shade plants require ample water single upright shoot flowers taken flowering given choice flowers left plants last much longer,"Heliconia latispatha distans Heliconia Orange Red Yellow shrubs musaceae banana family Sun growing, Semi shade Normal, Can tolerate more Flowers yeararound flowering flowers flushes throughout yeargreen 1 to 2 meters 1 to 2 meters spreading upright erect  rare plant difficult get plant good cut flowers good screening good hedges borders suitable road median planting good seaside heliconias tropical plants like warm humid best grown full sunlight however hot dry areas grown partial shade plants require ample water single upright shoot flowers taken flowering given choice flowers left plants last much longer"
11,14,Agave parryi,"Agave Dwarf, Mescal Agave, Parrys Agave, Potato Agave","Hindi - Kantala, Bengali - Bilatipat, Gujarati - Jangli-kunvara, Kannada - Bhuttale, Malayalam - Panamkattazha, Marathi - Ghaypat, Punjabi - Wilayati Kaithalu, Sanskrit - Kalakantala, Tamil - Aanaikathaalai",cacti succulents,amarylidaceae agave amaryllis family,"Sun growing, Semi shade","Can tolerate less, Requires less",Foliage,flowers many years,blue grey silver,50 cms to 100 cms,50 cms to 100 cms,spherical rounded,,animals not eat thorny spiny suitable road median planting salt salinity tolerant good seaside,dwarf potato agave north central mexico usa initially slow growing picks established stout light green leaves lesser compatision agaves leaves sharp pointed spine end 60 cms tall wide blooms start 5 6 years growth flowers yellow numerous flower stalk uoto five meters tall,full sun recommended plants grow well even get four hours direct sunlight day case partial sun rotate plants every month enable even light even rounded growth sand added potting mix good drainage bone meal good plants tolerate low humidity,"Agave parryi Agave Dwarf, Mescal Agave, Parrys Agave, Potato Agave cacti succulents amarylidaceae agave amaryllis family Sun growing, Semi shade Can tolerate less, Requires less Foliage flowers many yearsblue grey silver 50 cms to 100 cms 50 cms to 100 cms spherical rounded  animals not eat thorny spiny suitable road median planting salt salinity tolerant good seaside full sun recommended plants grow well even get four hours direct sunlight day case partial sun rotate plants every month enable even light even rounded growth sand added potting mix good drainage bone meal good plants tolerate low humidity"
12,15,Agave americana marginata,"Century Plant Variegated, Maguey","Hindi - Kantala, Bengali - Bilatipat, Gujarati - Jangli-kunvara, Kannada - Bhuttale, Malayalam - Panamkattazha, Marathi - Ghaypat, Punjabi - Wilayati Kaithalu, Sanskrit - Kalakantala, Tamil - Aanaikathaalai",cacti succulents,amarylidaceae agave amaryllis family,"Sun growing, Semi shade","Can tolerate less, Can tolerate more, Requires less",Foliage,flowers many years,variegated green yellow,50 cms to 100 cms,50 cms to 100 cms,oval,,animals not eat thorny spiny suitable road median planting salt salinity tolerant good seaside,believe plants relatives lilies come northcentral south america west indies grey green leaves yellowtips margins leaves 15 mts long upto 25 cms wide leaves sharp teeth pointed spines plants bloom 1015 years growth yellowgreen fragrant flowers borne tall terminal infloroscence flower stalk get tall 40 feet big healthy plants flowers followed thousands bulbils small plants fall ground mature planted make new plants,full sun recommended plants grow well even get four hours direct sunlight day case partial sun rotate plants every month enable even light even rounded growth sand added potting mix good drainage bone meal good plants tolerate low humidity,"Agave americana marginata Century Plant Variegated, Maguey cacti succulents amarylidaceae agave amaryllis family Sun growing, Semi shade Can tolerate less, Can tolerate more, Requires less Foliage flowers many yearsvariegated green yellow 50 cms to 100 cms 50 cms to 100 cms oval  animals not eat thorny spiny suitable road median planting salt salinity tolerant good seaside full sun recommended plants grow well even get four hours direct sunlight day case partial sun rotate plants every month enable even light even rounded growth sand added potting mix good drainage bone meal good plants tolerate low humidity"
13,16,Yucca aloifolia,"Yucca, Spanish Bayonet, Our Lords Candle",,cacti succulents shrubs indoor plants,liliaceae lily family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,january february december,green,4 to 6 meters,2 to 4 meters,upright erect,,auspicious feng shui plant good screening good hedges borders attracts bees animals not eat thorny spiny suitable road median planting suitable avenue planting salt salinity tolerant,native southern usa west indies mexico leaves green pointed sharp tipped evergreen perennials trees deserts white flower borne profusion large terminal inflorescence variety compact structure leaves thin narrow slightly arching yuccas succulent plants dry regions world adapted well conserve water formal symmetric shape makes ideal use todays interiors landscapes,hardy plants problems low light excessive moisture full sunlight light shade respond well organic fertilizers require porous well drained soils,"Yucca aloifolia Yucca, Spanish Bayonet, Our Lords Candle cacti succulents shrubs indoor plants liliaceae lily family Sun growing, Semi shade Normal, Can tolerate less Flowers january february decembergreen 4 to 6 meters 2 to 4 meters upright erect  auspicious feng shui plant good screening good hedges borders attracts bees animals not eat thorny spiny suitable road median planting suitable avenue planting salt salinity tolerant hardy plants problems low light excessive moisture full sunlight light shade respond well organic fertilizers require porous well drained soils"
14,17,Yucca whipplei,"Our Lords Candle, Whipplei Yucca",,cacti succulents indoor plants shrubs,liliaceae lily family,"Sun growing, Semi shade","Normal, Can tolerate less",Foliage,january february december,green,1 to 2 meters,1 to 2 meters,spreading upright erect,,rare plant difficult get plant good screening good hedges borders thorny spiny suitable road median planting salt salinity tolerant,2 feet long pointed leaves creamy whitef ragrantflower 20 feet tall 12 feet wide flower stalks8 feet variety compact structure leaves thin narrow arch downwards yucca succulent plants dry regions world adapted well conserve water formal symmetric shape makes ideal use todays interiors landscapes,full sunmin 4 hours sunlight water requires less hardy plants problems low light excessive moisture full sunlight light shade respond well organic fertilizers require porous well drained soils,"Yucca whipplei Our Lords Candle, Whipplei Yucca cacti succulents indoor plants shrubs liliaceae lily family Sun growing, Semi shade Normal, Can tolerate less Foliage january february decembergreen 1 to 2 meters 1 to 2 meters spreading upright erect  rare plant difficult get plant good screening good hedges borders thorny spiny suitable road median planting salt salinity tolerant full sunmin 4 hours sunlight water requires less hardy plants problems low light excessive moisture full sunlight light shade respond well organic fertilizers require porous well drained soils"
15,18,Echinocactus grusonii,"Golden Barrel Cactus, Golden  Ball, Mother In Laws Seat","Marathi - Echinocactus, Golden Barrel Cactus",cacti succulents,cactaceae,"Sun growing, Semi shade",Requires less,,march april flowers flushes throughout year,,1 to 2 meters,50 cms to 100 cms,columnar,,animals not eat thorny spiny,magnificient cactus mexico grows 1 meter tall diameter rounded 21 37 thick high ribs green body golden yellow spines crown covered yellow wool 15 2 inch diameter yellow flower must plant makes amazing specimen long lived expensive,requires bright light grow well minimum 4 hours sunlight required cactii add sand potting mix plants like bone meal not standard organic fertilizer given,"Echinocactus grusonii Golden Barrel Cactus, Golden  Ball, Mother In Laws Seat cacti succulents cactaceae Sun growing, Semi shade Requires less  march april flowers flushes throughout year 1 to 2 meters 50 cms to 100 cms columnar  animals not eat thorny spiny requires bright light grow well minimum 4 hours sunlight required cactii add sand potting mix plants like bone meal not standard organic fertilizer given"
16,19,Sansevieria trifasciata golden hahnii,Sanseveria Golden Hahnii,Marathi - Dwarf Sanseveria,cacti succulents shrubs groundcovers indoor plants,liliaceae lily family,"Sun growing, Semi shade, Shade growing","Can tolerate less, Requires less",Foliage,march april may flowers inconspicuous,variegated green yellow,Less than 50 cms,Less than 50 cms,spreading,,indigenous native india good cut foliage good hedges borders animals not eat suitable road median planting good seaside nasa plant indoor pollution control,showy variety absolute zero maintainence ground cover compact colourful sansevieria elliptical short leaves greyish green longitudinal bands cream golden yellow effective todays minimalistic landscaping well grown plant tall pot dark colored chips soil make low maintainence pretty looking plant,hardiest group house plant attractive popular pot ground prefer good light ideal rockeries also grow well semi shade sanseverias easiest plants grow care require care plants perform well well drained sandy soils water less grow well pots well ground,"Sansevieria trifasciata golden hahnii Sanseveria Golden Hahnii cacti succulents shrubs groundcovers indoor plants liliaceae lily family Sun growing, Semi shade, Shade growing Can tolerate less, Requires less Foliage march april may flowers inconspicuousvariegated green yellow Less than 50 cms Less than 50 cms spreading  indigenous native india good cut foliage good hedges borders animals not eat suitable road median planting good seaside nasa plant indoor pollution control hardiest group house plant attractive popular pot ground prefer good light ideal rockeries also grow well semi shade sanseverias easiest plants grow care require care plants perform well well drained sandy soils water less grow well pots well ground"
17,20,Sansevieria guineensis variegata,Sansevieria Golden Broad Leaved,Marathi - Golden Sanseveria,cacti succulents shrubs groundcovers indoor plants,liliaceae lily family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less, Can tolerate more",Foliage,flowers inconspicuous,variegated green yellow,50 cms to 100 cms,50 cms to 100 cms,spreading upright erect,,indigenous native india good cut foliage good hedges borders good edges ie small hedge border suitable road median planting hanging weeping growth habit good seaside nasa plant indoor pollution control,nationsouth africa india beautiful plant beightly variegated yellow leaves broad long rubbery leaves droop half way effective todays minimalistic landscaping well grown plant tall pot white stones soil make low maintainence pretty looking plant found nasa one best plants purifing air,grows well full sun well semi shade hardiest house plants prefer good light warm atmosphere less moisture root region clumps cover soil well sanseverias easiest plants grow care require care plants perform well well drained sandy soils water less grow well pots well ground,"Sansevieria guineensis variegata Sansevieria Golden Broad Leaved cacti succulents shrubs groundcovers indoor plants liliaceae lily family Sun growing, Semi shade, Shade growing Normal, Can tolerate less, Can tolerate more Foliage flowers inconspicuousvariegated green yellow 50 cms to 100 cms 50 cms to 100 cms spreading upright erect  indigenous native india good cut foliage good hedges borders good edges ie small hedge border suitable road median planting hanging weeping growth habit good seaside nasa plant indoor pollution control grows well full sun well semi shade hardiest house plants prefer good light warm atmosphere less moisture root region clumps cover soil well sanseverias easiest plants grow care require care plants perform well well drained sandy soils water less grow well pots well ground"
18,21,"Senecio kleinia, Kleinia nerifolia","California Cactus, Monkey Tree",,cacti succulents shrubs,compositae sunflower family,"Sun growing, Semi shade","Normal, Can tolerate less",Foliage,march april may june july august september october,green blue grey silver,1 to 2 meters,50 cms to 100 cms,upright erect,,fragrant flowers leaves good screening good hedges borders good edges ie small hedge border attracts bees suitable road median planting,flowering plants species grown mostly pretty leaves plant structure thick shapely branches thick stubby elongated leaves rest directly main stem branch without petiole plants look good individual pot specimens non trim hedge border,plants grow well full sun semi shade water requirement low plant conserves water good water draining soil important,"Senecio kleinia, Kleinia nerifolia California Cactus, Monkey Tree cacti succulents shrubs compositae sunflower family Sun growing, Semi shade Normal, Can tolerate less Foliage march april may june july august september octobergreen blue grey silver 1 to 2 meters 50 cms to 100 cms upright erect  fragrant flowers leaves good screening good hedges borders good edges ie small hedge border attracts bees suitable road median planting plants grow well full sun semi shade water requirement low plant conserves water good water draining soil important"
19,22,Phyllanthus emblica variety na7,Amla Banares Variety Na7,"Marathi - Banares Avala, Hindi - Amla, Bengali - Amla, Gujarati - Amali, Kannada - Amalaka, Malayalam - Nelli, Punjabi - Ambli, Sanskrit - Adiphala,  Tamil - Amalagam, Telugu - Anwala",fruit plants trees medicinal plants,euphorbiaceae poinsettia family,Sun growing,"Normal, Can tolerate less",Fruit or Seed,june july august flowers inconspicuous,green,4 to 6 meters,,spreading upright erect,,indigenous native india good screening attracts bees hanging weeping growth habit salt salinity tolerant,heavy fruiting variety banares alma bears clusters large sized fruit fruit excellent pulp one highest sources vitamin c also medicinal plants grow around 6 meters pruned kept short plants hardy recommended dryland agriculture,plant minimum 6 meters distance trees plants hardy initial irrigation helps establish quickly plants recommended set fruit better good cultural practices help trees yield maximum,"Phyllanthus emblica variety na7 Amla Banares Variety Na7 fruit plants trees medicinal plants euphorbiaceae poinsettia family Sun growing Normal, Can tolerate less Fruit or Seed june july august flowers inconspicuousgreen 4 to 6 meters  spreading upright erect  indigenous native india good screening attracts bees hanging weeping growth habit salt salinity tolerant plant minimum 6 meters distance trees plants hardy initial irrigation helps establish quickly plants recommended set fruit better good cultural practices help trees yield maximum"
20,23,"Cortaderia selloana, C. argentea",Pampas Grass,Marathi - Pampas Grass,bamboos grasses grass like plants groundcovers shrubs,gramineae grass family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Foliage,june july august october,green,2 to 4 meters,2 to 4 meters,spherical rounded upright erect,,rare plant difficult get plant good cut flowers good hedges borders suitable road median planting hanging weeping growth habit,talk center attraction one spectacular sights bloom grass grows six feet high 8 feet wide grows final height 6 8 feet high recommended single specimen planted center attraction,many soils suitable though light soils rich nutrients best not neglect watering dry season not require much care,"Cortaderia selloana, C. argentea Pampas Grass bamboos grasses grass like plants groundcovers shrubs gramineae grass family Sun growing, Semi shade Normal, Can tolerate less, Can tolerate more Foliage june july august octobergreen 2 to 4 meters 2 to 4 meters spherical rounded upright erect  rare plant difficult get plant good cut flowers good hedges borders suitable road median planting hanging weeping growth habit many soils suitable though light soils rich nutrients best not neglect watering dry season not require much care"
21,24,Chlorophytum comosum vittatum,Spider Plant,Marathi - Chlorophytum,groundcovers indoor plants,liliaceae lily family,"Sun growing, Semi shade, Shade growing",Normal,Foliage,yeararound flowering flowers flushes throughout year flowers inconspicuous,variegated green white,Less than 50 cms,50 cms to 100 cms,spreading,,good edges ie small hedge border hanging weeping growth habit salt salinity tolerant nasa plant indoor pollution control,variety leaf pattern much like regular chlorophytum leaves comparatively narrow longer green deeper more distinct native africa ease growing makes favorite plant beginners grows 40 cms high leaves long grassy 3 4 cms wide 30 cms long small white flowers held long arching stalks followed tuft young plantlets use house plant originated centuries ago certified nasa one best removers indoor pollutants plant much relevant today remain future growing 12 ft white flowers produce long drooping flower stems ending tuft leaves forming offset,hardy grows dependable good soil compost added fine grow variegated tall kinds pots compost composed equal part loam drooping kinds grown baskets pots suspended green house window put young plants march water freely summer moderately winter well drained soil temperature 65 f march propagated seeds,"Chlorophytum comosum vittatum Spider Plant groundcovers indoor plants liliaceae lily family Sun growing, Semi shade, Shade growing Normal Foliage yeararound flowering flowers flushes throughout year flowers inconspicuousvariegated green white Less than 50 cms 50 cms to 100 cms spreading  good edges ie small hedge border hanging weeping growth habit salt salinity tolerant nasa plant indoor pollution control hardy grows dependable good soil compost added fine grow variegated tall kinds pots compost composed equal part loam drooping kinds grown baskets pots suspended green house window put young plants march water freely summer moderately winter well drained soil temperature 65 f march propagated seeds"
22,29,Paspalum notatum,"Paspalum Lawn, Broad Leaved Lawn, Bahia Grass",Marathi - Phosphylum Lawn,lawns bamboos grasses grass like plants groundcovers,gramineae grass family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate more",Foliage,flowers inconspicuous,green,Less than 50 cms,50 cms to 100 cms,low spreading,,good edges ie small hedge border suitable road median planting hanging weeping growth habit good seaside,grass native south america definitely best lawn growing shade indian gardens spreads short rhizomes stolons recuperative ability poor fair bahiagrass wears well produces open medium low density turf full sunlight improved density more attractive dark green colour tolerate moving well commonly used public parks gardens large trees present light variable problem not fine leaved many people not like broad leaves lawn value money,bahia thrives sandy soil ph 5 65 requires ample moisture survive drought sends deep roots species grown wide range soils tolerates poor soils well fertilizer needs low thatch mounds growth lawn accumulation minimal,"Paspalum notatum Paspalum Lawn, Broad Leaved Lawn, Bahia Grass lawns bamboos grasses grass like plants groundcovers gramineae grass family Sun growing, Semi shade, Shade growing Normal, Can tolerate more Foliage flowers inconspicuousgreen Less than 50 cms 50 cms to 100 cms low spreading  good edges ie small hedge border suitable road median planting hanging weeping growth habit good seaside bahia thrives sandy soil ph 5 65 requires ample moisture survive drought sends deep roots species grown wide range soils tolerates poor soils well fertilizer needs low thatch mounds growth lawn accumulation minimal"
