Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,Image_Paths
244,Ficus westland,Ficus West Land,,"Shrubs, Indoor Plants, Trees",Moraceae or Fig family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,Green,1 to 2 meters,1 to 2 meters,"Spherical or rounded, Spreading",,"Good for making bonsai, Good for Topiary, Good for Hedges and Borders, Attracts birds, Quick growing trees, Suitable for road median planting, Good on seaside, NASA plant for Indoor pollution control","The leaves are medium sized (around 12 cms), stiff and held upright., Plants do not grow very tall (but they are not as small as the ficus long island)., They can be planned to be up to two meters high. Shapes well for topiary work.","A very versatile medium sized ficus., Will grow well in small containers as well as the ground., Good fertile and well drained soil will make the plant happy and its leaves will sparkle.",[]
245,Fransicea japonica,Yesterday Today Tomorrow,"Marathi - Francicia, Fransicia","Shrubs, Groundcovers",Solanaceae or Potato family,"Sun growing, Semi shade","Normal, Can tolerate more",Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,"Spreading, Upright or Erect",,"Fragrant flowers or leaves, Auspicious or Feng Shui plant, Good for making bonsai, Plant for puja or prayer flower or leaves, Good for screening, Good for Hedges and Borders, Good for Edges ie very small hedge or border, Attracts butterflies, Attracts bees, Suitable for road median planting, Hanging or weeping growth habit, Good on seaside","The yesterday, today, tomorrow is a pretty shrub to have and grow. It is so called because the flowers change color. They are white the first day, lilac or mauve the next and purple the third., It is a native of South America and West Indies., Evergreen flowering shrub., A well shaped, bushy, profusely flowering shrub., Grows up to 2 m high., Stem woody, dark brown when old, with numerous small branches., Flowers solitary, axillary or terminal on short branches., Leaves are a deep green color - the flowers stand out from a distance., A plant in full bloom will spread its fragrance in its vicinity.","Plants like acidic soils. May develop chlorosis in alkaline soils., Requires good drainage. Tolerates very heavy rains - as long as the drainage is good., It grows well in full sun (milder climates) or partial shade (in very hot and dry areas)., Needs light pruning which should include removal of thin shoots after the flowering is over., Can be grown in pots as well as the ground.",[]
246,"Galphimia glauca, Thrysalis glauca",Canary Bush,Marathi - Galphemia,Shrubs,Malpighiaceae or Malphegia family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,"Spreading, Upright or Erect",,"Good for making bonsai, Good for screening, Good for Hedges and Borders, Attracts birds, Attracts butterflies, Attracts bees, Suitable for road median planting, Hanging or weeping growth habit, Salt or salinity tolerant","Here is a pretty yellow flowering shrub - that never tires flowering., It is an evergreen shrub that grows to a height of around one meter., The leaves are oval and delicate., The flowers though small are borne in profusion at the terminal ends of branches., The plants has a neat appearance and its branches gracefully swing in wind., Use as a single bush, as a group or mass it. Attracts attention anyway.","It is tolerant of most garden soils and can withstand a fair amount of neglect and also drought., It flowers all year in tropical and summer to autumn in subtropical areas., Plants should be trimmed back after the flowering is over. This promotes quick regrowth and flowering., Regular fertilizer application will keep the blooms coming.","['Scraped_Images/246_Galphimia glauca, Thrysalis glauca/Galphimia glauca, Thrysalis glauca_0.jpg', 'Scraped_Images/246_Galphimia glauca, Thrysalis glauca/Galphimia glauca, Thrysalis glauca_1.jpg', 'Scraped_Images/246_Galphimia glauca, Thrysalis glauca/Galphimia glauca, Thrysalis glauca_2.jpg', 'Scraped_Images/246_Galphimia glauca, Thrysalis glauca/Galphimia glauca, Thrysalis glauca_3.jpg', 'Scraped_Images/246_Galphimia glauca, Thrysalis glauca/Galphimia glauca, Thrysalis glauca_4.jpg']"
248,Gardenia jasminoides,"Gardenia, Gardenia Florida, Cape Jasmine","Bengali - Gandharaj, Hindi - Gandharaj, Oriya - Gandharaj, Sanskrit - Gandharaj, Telugu - Gandharaj, Marathi - Anant",Shrubs,Rubiaceae or Ixora and Pentas family,"Sun growing, Semi shade","Normal, Can tolerate more",Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,2 to 4 meters,2 to 4 meters,"Spreading, Upright or Erect",,"Fragrant flowers or leaves, Auspicious or Feng Shui plant, Good for making bonsai, Good for Cut flowers, Good for Topiary, Plant for puja or prayer flower or leaves, Good for screening, Good for Hedges and Borders, Attracts butterflies, Attracts bees, Suitable for road median planting, Good on seaside, Must have for Farm house or big gardens","The gardenia is a native of China., Flowers have a strong and sweet fragrance., Given the right conditions plants can grow to over three meters tall., Gardenias are widely grown in gardens all over the world., Foliage is shining, dense and a deep shade of green., Leaves are 7-12 cm long., White flowers are borne in profusion in spring and summer. At other times the plant throws up the occasional flower., They are brilliand white when they open and turn cream to light yellow by evening., Flowers were once an intergral part of coursages. They were a must during marriage ceremonies in the west.","Plants are very fast growing especially in the hot summer and monsoon months., Can be grown in pots as well as the ground., Plants grow best in acidic soils - alkaline soils should be avoided as plants leaves turn yellow due to lack of availab;e iron., It is an useful shrub in tropical gardens as it can be grown singly, as a group or even as a hedge., Plants like plenty of water, organic fertilizers and sunshine., Regular spray of water on very dry days especially for pot plants will help., Plants can be trimmed back if they get too big., They can stay in the same pots for many many years.","['Scraped_Images/248_Gardenia jasminoides/Gardenia jasminoides_0.jpg', 'Scraped_Images/248_Gardenia jasminoides/Gardenia jasminoides_1.jpg', 'Scraped_Images/248_Gardenia jasminoides/Gardenia jasminoides_2.jpg', 'Scraped_Images/248_Gardenia jasminoides/Gardenia jasminoides_3.jpg', 'Scraped_Images/248_Gardenia jasminoides/Gardenia jasminoides_4.jpg']"
249,Hamelia patens,"Scarlet Bush, Fire Bush, Hummingbird Bush","Marathi - Hemelia, Bengali -muna",Shrubs,Rubiaceae or Ixora and Pentas family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,2 to 4 meters,1 to 2 meters,"Spreading, Upright or Erect",,"Good for making bonsai, Good for screening, Good for Hedges and Borders, Attracts birds, Quick growing trees, Evergreen trees, Suitable for road median planting, Salt or salinity tolerant","Native West Indies & Southern Florida., Handsome flowering shrub., Evergreen shrub., Grows over 2 to 3 meters tall., Plants bloom constantly - this makes it a very useful plant., The flowers are followed by small sour dark red to black purple berries., The leaves and stems have also been employed for tanning.","Very quick growing., Plant require plenty of sunshine for their vigorous growth and best color., Plants require heavy pruning from time to time., All types of well drained soils are fine.","['Scraped_Images/249_Hamelia patens/Hamelia patens_0.jpg', 'Scraped_Images/249_Hamelia patens/Hamelia patens_1.jpg', 'Scraped_Images/249_Hamelia patens/Hamelia patens_2.jpg', 'Scraped_Images/249_Hamelia patens/Hamelia patens_3.jpg', 'Scraped_Images/249_Hamelia patens/Hamelia patens_4.jpg']"
250,Hamelia patens nana,Hamelia Patens Mini,Marathi - Chota Hamelia,Shrubs,Rubiaceae or Ixora and Pentas family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,2 to 4 meters,1 to 2 meters,"Spreading, Upright or Erect",,"Good for making bonsai, Good for Hedges and Borders, Good for Edges ie very small hedge or border, Attracts birds, Attracts butterflies, Suitable for road median planting, Hanging or weeping growth habit","Is miniature in all its aspects compared to the regular hamelia. In terms all cultural requirements it is exactly the same., Native West Indies & Southern Florida., Handsome flowering shrub., Evergreen shrub., Grows over 1 to 1.5 meters tall., Plants bloom constantly - this makes it a very useful plant., The flowers are followed by small sour dark red to black purple berries.","Very quick growing., Plant require plenty of sunshine for their vigorous growth and best color., Plants require heavy pruning from time to time., All types of well drained soils are fine.","['Scraped_Images/250_Hamelia patens nana/Hamelia patens nana_0.jpg', 'Scraped_Images/250_Hamelia patens nana/Hamelia patens nana_1.jpg', 'Scraped_Images/250_Hamelia patens nana/Hamelia patens nana_2.jpg', 'Scraped_Images/250_Hamelia patens nana/Hamelia patens nana_3.jpg', 'Scraped_Images/250_Hamelia patens nana/Hamelia patens nana_4.jpg']"
251,Hedychium coronarium,"Butterfly Ginger Lily, White Ginger Lily, Garland Flower","Marathi - Sontaka, Hindi - Dolan Champa, Manipuri - Takhellei Angouba, Kannada - Suruli Sugandhi, Assamese - Pakhila Phul, Tamil - Chankitam, Chantikantam, Chantiramullikai, Telugu - Kichchiligadda, Vasa Vasanthi",Shrubs,Zingiberaceae or Ginger family,"Semi shade, Shade growing","Normal, Can tolerate more",Flowers,"July, August, September, October, November",Green,50 cms to 100 cms,50 cms to 100 cms,"Spreading, Upright or Erect",,"Indigenous (native to India), Fragrant flowers or leaves, Plant for puja or prayer flower or leaves, Good for screening, Hanging or weeping growth habit","An amazingly fragrant plant from the ginger family., Plants form a clump of shoots that radiate upwards and outwards., The leaf stalk is 3-4 feet long - flowers are borne in bunches at the ends of these stalks., The complete flower stalk should not be cut - as it will stay only for a couple of days. Instead individual flowers can be removed and kept in a dish or tray with water in it.","Plants need deep fertile soils., Plants like moist and cool weather - especially during blooming periods., The plants require plenty of water from April - November. They are usually planted near water logged areas., The flowers stems should be cut off immediately after flowering - this encourages new growth.","['Scraped_Images/251_Hedychium coronarium/Hedychium coronarium_0.jpg', 'Scraped_Images/251_Hedychium coronarium/Hedychium coronarium_1.jpg', 'Scraped_Images/251_Hedychium coronarium/Hedychium coronarium_2.jpg', 'Scraped_Images/251_Hedychium coronarium/Hedychium coronarium_3.jpg', 'Scraped_Images/251_Hedychium coronarium/Hedychium coronarium_4.jpg']"
252,Hypocyrta glabra,Lip Stick Plant,,Groundcovers,Gesneriaceae or African Violet family,"Sun growing, Shade growing",Normal,Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,Less than 50 cms,Less than 50 cms,Low spreading,,Hanging or weeping growth habit,"A native of South America., A beautiful ground cover., Growing up to 1.2 ft tall., Scarlet and yellow flowers.","A low growing plant., The plants are best suited as a pot plants or in protected ground beds., Likes warm temperatures., The secret of growing this plant is excellent soil drainage.",[]
253,Hypoestes sanguinolenta red,"Polka Dot Red, Freckleface",Marathi - Polka Dot Lal,"Groundcovers, Indoor Plants",Acanthaceae or Crossandra or Thunbergia family,"Semi shade, Shade growing",Normal,Foliage,Flowers are inconspicuous,"Variegated, Red, Green",Less than 50 cms,Less than 50 cms,Spreading,,Good for Edges ie very small hedge or border,"The foliage is very colourful and attractive., The new varieties of this once commonly grown plants., The definite improvement over is ancestors is in the colors (which are very bright) and growing habit (which is dwarf).","Grow plants in bright light. Their color will fade in shade., The plants flowers in winter. Flowers are small and in long upright inflorosences. They can be cut off as they reduce the leaf size., Should be trimmed low to get new good colourful growth.","['Scraped_Images/253_Hypoestes sanguinolenta red/Hypoestes sanguinolenta red_0.jpg', 'Scraped_Images/253_Hypoestes sanguinolenta red/Hypoestes sanguinolenta red_1.jpg', 'Scraped_Images/253_Hypoestes sanguinolenta red/Hypoestes sanguinolenta red_2.jpg', 'Scraped_Images/253_Hypoestes sanguinolenta red/Hypoestes sanguinolenta red_3.jpg', 'Scraped_Images/253_Hypoestes sanguinolenta red/Hypoestes sanguinolenta red_4.jpg']"
254,"Peperomia scandens variegata, P. glabella variegata","Pepromia Trailing, Variegated Wax Privet",Marathi - Pepromia Hanging,"Groundcovers, Indoor Plants",Piperaceae or Pepper family,"Semi shade, Shade growing","Normal, Can tolerate less",Foliage,Flowers are inconspicuous,"Variegated, Green, White",Less than 50 cms,Less than 50 cms,Low spreading,,Hanging or weeping growth habit,"This is a pretty trailing plant. It does not get over 20 cms high., Ideal for hanging naskets and as a ground cover., Pepromia is a genus of small herbaceous plants., Found throughout out the tropics., This plant can grow up to 5 ft long., Plants are succulent and have fleshy stems that can easily snap.","Very quick growing., The plant is nearly epiphytic and need very little soil., A good potting compost works well., Plants should be left alone. Moving them around - or other plants brushing against them will result in leaves and branches breaking off., Very useful plant for contrasting against dull back grounds.",[]
255,Pilea cadierei,"Aluminium Pilea (spotted), Vietnam Annam, Watermelon Pilea",Marathi - Thipkewala Pilea,"Groundcovers, Indoor Plants",Urticaceae or Pilea family,"Semi shade, Shade growing",Normal,Foliage,Flowers are inconspicuous,"Variegated, Green, White",50 cms to 100 cms,50 cms to 100 cms,Spreading,,"Good for Edges ie very small hedge or border, Hanging or weeping growth habit",A very popular and well known house plant. Grows up to 50 cm tall. Attractivly painted shining silvery aluminum over the vivid bottle green. Tiny flowers are held between foliage on stalked heads. Leaves are three inches long and 1.5 inches wide. Stems branch profusely.,Very low growing in bright light - can get taller in low light. plants have to be cropped frequently to maintain bushy shape. Tolerant of indoor conditions. Grows well in a small pots as well as the ground. May require replanting every few years.,"['Scraped_Images/255_Pilea cadierei/Pilea cadierei_0.jpg', 'Scraped_Images/255_Pilea cadierei/Pilea cadierei_1.jpg', 'Scraped_Images/255_Pilea cadierei/Pilea cadierei_2.jpg', 'Scraped_Images/255_Pilea cadierei/Pilea cadierei_3.jpg', 'Scraped_Images/255_Pilea cadierei/Pilea cadierei_4.jpg']"
258,Pilea serpyllacea,Pilea Macrophylla,Marathi - Motha Sadha Pilea,Groundcovers,Urticaceae or Pilea family,"Sun growing, Semi shade","Normal, Can tolerate more",Foliage,Flowers are inconspicuous,"Green, Bronze or coppery",Less than 50 cms,50 cms to 100 cms,Low spreading,,"Animals will not eat, Hanging or weeping growth habit","Origin Tropical Northern South America., This is a very small leaved and feathery plant., Low growing about 15 cm high, herbaceous succulent., Leaves numerous, obovate, minute, blunt, glossy green, almost fern like in appearance., Stems are brownish., Leaves are oblong 10 to 12 cms.","Grow in shade as well as sunlight (provided its roots are moist)., A compost mixture of loam, leafmould and coarse sand in equal parts., Grow in small pots, raised bed beds or hanging baskets., Plants can tolerate heavy rainfall well.","['Scraped_Images/258_Pilea serpyllacea/Pilea serpyllacea_0.jpg', 'Scraped_Images/258_Pilea serpyllacea/Pilea serpyllacea_1.jpg', 'Scraped_Images/258_Pilea serpyllacea/Pilea serpyllacea_2.jpg', 'Scraped_Images/258_Pilea serpyllacea/Pilea serpyllacea_3.jpg', 'Scraped_Images/258_Pilea serpyllacea/Pilea serpyllacea_4.jpg']"
259,Plectranthus nummularius,Swedish Ivy,Marathi - Hirva Plectranthus,Groundcovers,Labiatae or Tulsi family,"Semi shade, Shade growing",Normal,Foliage,Flowers are inconspicuous,Green,Less than 50 cms,50 cms to 100 cms,Spreading,,Hanging or weeping growth habit,A quick growing thick fleshy leaved ground cover. It will grow to only around 30 cms tall. Quick growing and best for shade. The plants also bear numerous lilac white coloured flowers on stalks held above the foliage. Flowers are quite insignificant as they fade away quickly.,"Bright light suits them best., A compost mixture of loam, leafmould and coarse sand in equal parts., Grow in small pots, raised bed beds or hanging baskets., Plants should not get water logged or caught in continous or very heavy rainfall. They can easily rot.",[]
